,title,year,scale,villain,diverse representation,characters
5,The Yellow Sea,2010,mainstream,yes,no,hit-man
7,Countdown,2011,mainstream,yes,no,gangster
9,Traffickers,2012,mainstream,yes,no,trafficker
11,New World,2013,mainstream,yes,yes,hit-man
11,New World,2013,mainstream,yes,yes, taxi driver
15,Coin Locker Girl,2015,mainstream,yes,no,hit-man
16,Veteran,2015,mainstream,yes,no,gangster
17,The Advocate: Missing Body,2015,mainstream,yes,no,illegal corpse seller
18,Asura: The City of Madness,2016,mainstream,yes,no,hit-man
19,Missing,2016,mainstream,yes,yes,mail-order bride
19,Missing,2016,mainstream,yes,yes, kidnapper
20,Midnight Runners,2017,mainstream,yes,no,trafficker
21,The Villaness,2017,mainstream,yes,no,hit-man
22,The Outlaws,2017,mainstream,yes,no,gangster
24,RV: Resurrected Victims,2017,mainstream,yes,no,killer
24,RV: Resurrected Victims,2017,mainstream,yes,no, theif
25,Beautiful Days,2018,mainstream,yes,yes,normal person
25,Beautiful Days,2018,mainstream,yes,yes, trafficker
28,Idol,2019,mainstream,yes,no,killer
28,Idol,2019,mainstream,yes,no, undocumented alien
